HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE
80011,41-50,w,12.0,123.0,Papillon
80011,41-50,w,12.0,123.0,Jura Laufhund
80011,41-50,w,12.0,123.0,Yorkshire Terrier
80017,61-70,m,6.0,61.0,Labrador Retriever
80017,61-70,m,6.0,61.0,Spanischer Wasserhund
80021,41-50,w,11.0,111.0,Labrador Retriever
80023,61-70,m,11.0,111.0,Border Collie
80023,61-70,m,11.0,111.0,Border Collie
80028,41-50,w,10.0,101.0,Border Collie
80056,81-90,m,7.0,74.0,Labrador Retriever
80059,71-80,w,12.0,123.0,Französische Bulldogge
80068,51-60,m,9.0,91.0,Bayerischer Gebirgsschweisshund
80096,51-60,w,11.0,111.0,Malteser
80097,61-70,m,6.0,61.0,Jack Russel Terrier
80099,71-80,m,12.0,123.0,Pinscher
80106,61-70,w,9.0,91.0,Labrador Retriever
80127,41-50,w,10.0,101.0,American Bulldog
80141,51-60,m,11.0,111.0,Schnauzer
80143,71-80,w,9.0,92.0,Yorkshire Terrier
80157,71-80,w,11.0,111.0,Mischling klein
80162,51-60,m,12.0,123.0,Bouvier
80162,51-60,m,12.0,123.0,Parson Jack Russell Terrier
80168,61-70,m,11.0,119.0,Labrador Retriever
80169,41-50,w,4.0,42.0,Jack Russel Terrier
80169,41-50,w,4.0,42.0,Jack Russel Terrier
80172,51-60,m,9.0,91.0,Labrador Retriever
80185,41-50,m,10.0,102.0,Labrador Retriever
80187,51-60,w,3.0,31.0,Golden Retriever
80188,51-60,w,10.0,101.0,Mischling klein
80198,81-90,w,7.0,74.0,Malteser
80201,51-60,m,3.0,31.0,Mischling klein
80204,51-60,w,11.0,111.0,Appenzeller
80205,41-50,m,5.0,51.0,Beauceron
80209,81-90,m,10.0,102.0,Bichon Havanais
80217,51-60,w,3.0,33.0,Foxterrier
80223,41-50,m,11.0,111.0,Dachshund
80226,71-80,w,6.0,61.0,Labrador Retriever
80230,61-70,w,9.0,92.0,Yorkshire Terrier
80230,61-70,w,9.0,92.0,Yorkshire Terrier
80248,51-60,m,4.0,42.0,Jack Russel Terrier
80258,51-60,m,11.0,111.0,Dackel
80260,61-70,w,4.0,44.0,Rottweiler
80267,41-50,m,12.0,122.0,Mischling klein
80272,41-50,m,9.0,91.0,Terrier
80306,61-70,m,9.0,91.0,Border Terrier
80317,81-90,w,7.0,74.0,Windspiel
80319,41-50,w,10.0,102.0,Mischling klein
80319,41-50,w,10.0,102.0,Dackel
80330,71-80,w,12.0,123.0,Husky
80331,51-60,w,10.0,101.0,Collie
80335,61-70,w,12.0,122.0,Irish Setter
80335,61-70,w,12.0,122.0,Irish Setter
80351,81-90,w,3.0,33.0,Bearded Collie
80370,51-60,m,12.0,121.0,Deutscher Schäfer
80380,71-80,m,2.0,23.0,Mischling klein
80382,51-60,w,10.0,102.0,Dachshund
80383,81-90,w,4.0,44.0,Bichon
80399,61-70,w,12.0,123.0,Appenzeller
80404,61-70,m,7.0,72.0,Rottweiler
80406,51-60,m,11.0,111.0,Labrador Retriever
80407,71-80,m,7.0,72.0,Labrador Retriever
80410,51-60,w,7.0,73.0,Labrador Retriever
80411,41-50,w,6.0,61.0,Labrador Retriever
80412,51-60,m,2.0,21.0,Labrador Retriever
80416,41-50,w,9.0,91.0,Labrador Retriever
80427,61-70,m,10.0,102.0,Tschechoslowakischer Wolfshund
80434,61-70,w,7.0,71.0,Pudel
80438,71-80,m,7.0,71.0,Deutscher Wachtel
80472,81-90,m,4.0,41.0,Collie
80478,71-80,w,2.0,21.0,Cocker Spaniel
80491,61-70,w,12.0,123.0,Chihuahua
80493,81-90,w,11.0,119.0,Shih Tzu
80494,81-90,w,2.0,21.0,Dachshund
80500,51-60,m,11.0,111.0,Boxer
80500,51-60,m,11.0,111.0,Deutscher Boxer
80509,71-80,w,2.0,24.0,Boxer
80511,71-80,m,1.0,11.0,Tervueren
80513,51-60,w,3.0,33.0,Parson Jack Russell Terrier
80516,41-50,m,3.0,33.0,Malteser
80521,61-70,w,11.0,111.0,Deutscher Schäfer
80525,71-80,m,7.0,72.0,Zwergpudel
80530,81-90,w,2.0,21.0,Pudel
80536,71-80,m,2.0,21.0,Schweizer Niederlaufhund
80538,61-70,w,2.0,24.0,English Cocker Spaniel
80544,81-90,m,11.0,119.0,Dackel
80545,51-60,m,9.0,91.0,Border Terrier
80545,51-60,m,9.0,91.0,Border Terrier
80552,51-60,w,9.0,92.0,Windspiel
80552,51-60,w,9.0,92.0,Windspiel
80553,81-90,w,2.0,21.0,Jack Russel Terrier
80556,81-90,m,3.0,31.0,Mops
80571,51-60,m,3.0,31.0,Mischling klein
80575,81-90,w,4.0,42.0,Mischling klein
80584,71-80,w,8.0,82.0,Labrador Retriever
80602,61-70,w,12.0,122.0,Bolonka Zwetna
80604,71-80,m,7.0,72.0,Labrador Retriever
80604,71-80,m,7.0,72.0,Labrador Retriever
80604,71-80,m,7.0,72.0,Labrador Retriever
80607,81-90,w,10.0,101.0,West Highland White Terrier
80608,81-90,w,2.0,24.0,Deutscher Schäfer
80618,61-70,w,8.0,83.0,Irish Terrier
80622,61-70,m,6.0,61.0,Parson Russell Terrier
80628,61-70,m,9.0,91.0,Labrador Retriever
80630,81-90,m,3.0,34.0,Zwergpudel
80631,71-80,w,11.0,115.0,Tervueren
80637,81-90,m,12.0,123.0,Mischling klein
80645,71-80,w,2.0,21.0,Berner Sennenhund
80645,71-80,w,2.0,21.0,Berner Sennenhund
80647,61-70,m,11.0,111.0,Golden Retriever
80648,41-50,m,11.0,111.0,Belgischer Schäfer
80653,61-70,m,7.0,73.0,Groenendael
80656,71-80,m,10.0,101.0,Pointer
80657,71-80,w,11.0,119.0,Cairn Terrier
80659,51-60,w,3.0,33.0,English Springer Spaniel
80661,61-70,w,7.0,72.0,Chihuahua
80663,81-90,w,7.0,73.0,Malteser
80684,71-80,w,2.0,21.0,Bergamasker
80698,41-50,w,11.0,119.0,Pudel
80698,41-50,w,11.0,119.0,Toypudel
80700,51-60,w,2.0,21.0,Podenco
80700,51-60,w,2.0,21.0,Mischling klein
80708,71-80,w,11.0,119.0,West Highland White Terrier
80713,61-70,m,11.0,111.0,Dackel
80715,61-70,m,6.0,61.0,Mischling klein
80719,61-70,w,11.0,111.0,Parson Terrier
80719,61-70,w,11.0,111.0,Jack Russel Terrier
80734,71-80,w,2.0,24.0,Basset Griffon vendéen
80735,51-60,w,12.0,122.0,Golden Retriever
80746,71-80,w,7.0,71.0,Dachshund
80753,71-80,m,9.0,92.0,Mischling klein
80755,61-70,w,9.0,91.0,West Highland White Terrier
80758,81-90,w,2.0,24.0,Labrador Retriever
80760,61-70,w,7.0,74.0,Irish Setter
80761,61-70,m,11.0,115.0,Appenzeller Sennenhund
80761,61-70,m,11.0,115.0,Appenzeller Sennenhund
80762,51-60,w,11.0,111.0,Golden Retriever
80763,71-80,w,7.0,74.0,Hovawart
80767,61-70,w,9.0,92.0,Beagle
80778,51-60,m,2.0,23.0,Yorkshire Terrier
80797,71-80,w,2.0,24.0,Shih Tzu
80835,71-80,w,7.0,73.0,Malteser
80838,71-80,w,7.0,71.0,Toypudel
80840,51-60,w,10.0,101.0,Dalmatiner
80843,61-70,w,5.0,51.0,Toypudel
80847,71-80,m,9.0,91.0,Beagle
80849,61-70,m,11.0,119.0,Labrador Retriever
80853,51-60,w,12.0,122.0,Labradoodle
80867,71-80,m,12.0,122.0,Mischling gross
80871,61-70,m,7.0,72.0,Terrier
80871,61-70,m,7.0,72.0,Mischling klein
80876,41-50,w,2.0,23.0,Mischling gross
80879,61-70,m,7.0,74.0,Border Collie
80881,71-80,w,7.0,72.0,Mops
80881,71-80,w,7.0,72.0,Mops
80884,71-80,w,7.0,74.0,Cocker Spaniel
80885,81-90,m,7.0,72.0,West Highland White Terrier
80888,61-70,w,7.0,72.0,Deutscher Boxer
80890,61-70,m,7.0,73.0,Pinscher
80896,81-90,m,7.0,74.0,Malteser
80897,41-50,w,7.0,71.0,Lagotto Romagnolo
80914,81-90,m,11.0,119.0,Schäfer
80915,71-80,w,3.0,34.0,Golden Retriever
80916,41-50,w,9.0,92.0,Tervueren
80916,41-50,w,9.0,92.0,Groenendael
80940,61-70,w,7.0,71.0,Mischling klein
80950,61-70,w,7.0,73.0,Rhodesian Ridgeback
80956,91-100,m,7.0,73.0,Coton de Tulear
80957,51-60,w,7.0,74.0,Riesenschnauzer
80960,71-80,w,7.0,72.0,Mops
80972,61-70,m,7.0,74.0,Hovawart
80974,81-90,m,2.0,24.0,Grosspudel
80978,51-60,w,9.0,92.0,Mischling klein
80982,61-70,w,10.0,101.0,Dachshund
80986,71-80,w,11.0,111.0,Border Collie
80999,51-60,w,10.0,101.0,West Highland White Terrier
81001,61-70,m,10.0,101.0,Deutscher Boxer
81004,51-60,w,9.0,92.0,Scottish Terrier
81004,51-60,w,9.0,92.0,Scottish Terrier
81018,81-90,w,10.0,101.0,Tervueren
81027,61-70,w,8.0,82.0,Parson Jack Russell Terrier
81042,41-50,w,2.0,21.0,Dackel
81042,41-50,w,2.0,21.0,Mischling klein
81043,71-80,m,10.0,101.0,Zwergpudel
81045,61-70,w,6.0,63.0,Zwergrauhaardackel
81050,61-70,w,5.0,52.0,Labrador Retriever
81050,61-70,w,5.0,52.0,Labrador Retriever
81050,61-70,w,5.0,52.0,Labrador Retriever
81054,51-60,w,1.0,11.0,Mops
81054,51-60,w,1.0,11.0,Labrador Retriever
81064,61-70,w,8.0,83.0,Labrador Retriever
81072,51-60,w,7.0,71.0,Mischling klein
81091,61-70,w,7.0,71.0,Labrador Retriever
81092,81-90,w,7.0,74.0,Foxterrier
81096,81-90,w,7.0,71.0,Dackel
81097,61-70,w,7.0,72.0,Golden Retriever
81100,51-60,w,7.0,73.0,Mischling klein
81100,51-60,w,7.0,73.0,Mischling klein
81107,71-80,w,7.0,74.0,Deutscher Schäfer
81112,71-80,m,7.0,74.0,Australian Shepherd
81116,51-60,w,7.0,74.0,Französische Bulldogge
81132,31-40,m,7.0,73.0,Mischling klein
81134,71-80,m,7.0,74.0,Pekingese
81139,81-90,w,7.0,74.0,Mops
81153,51-60,w,8.0,83.0,Airedale Terrier
81159,61-70,m,9.0,92.0,Airedale Terrier
81172,61-70,w,11.0,111.0,Collie
81183,41-50,m,9.0,92.0,Deutscher Schäfer
81183,41-50,m,9.0,92.0,Yorkshire Terrier
81184,61-70,w,9.0,92.0,Italienisches Windspiel
81188,51-60,m,10.0,101.0,Jack Russel Terrier
81195,61-70,w,10.0,102.0,Beagle
81197,51-60,w,2.0,21.0,West Highland White Terrier
81200,81-90,m,10.0,101.0,Toypudel
81202,71-80,m,9.0,91.0,Toypudel
81210,61-70,w,4.0,42.0,Belgischer Schäfer
81212,51-60,w,9.0,92.0,Labrador Retriever
81218,71-80,w,9.0,91.0,Cairn Terrier
81224,51-60,m,10.0,101.0,Miniature Bull Terrier
81234,81-90,m,9.0,92.0,Terrier
81235,71-80,m,4.0,42.0,Jack Russel Terrier
81245,71-80,w,8.0,81.0,Chihuahua
81248,71-80,m,10.0,101.0,Deutscher Schäfer
81251,51-60,w,2.0,24.0,Irish Terrier
81252,71-80,w,9.0,91.0,Berger des Pyrenées
81254,51-60,w,9.0,92.0,Tibet Terrier
81273,71-80,m,9.0,92.0,Golden Retriever
81274,91-100,m,9.0,92.0,Labrador Retriever
81281,61-70,m,3.0,33.0,Labrador Retriever
81287,81-90,m,7.0,71.0,Cairn Terrier
81293,81-90,w,10.0,101.0,Cocker Spaniel
81309,71-80,w,10.0,102.0,Yorkshire Terrier
81316,71-80,w,11.0,119.0,Yorkshire Terrier
81319,61-70,m,10.0,102.0,Labrador Retriever
81322,71-80,w,6.0,63.0,Galgo Español
81323,81-90,m,6.0,63.0,Alpenländische Dachsbracke
81325,71-80,w,12.0,122.0,Sheltie
81330,41-50,w,2.0,24.0,Dobermann
81336,51-60,w,6.0,63.0,Malteser
81343,31-40,w,11.0,111.0,Papillon
81346,61-70,w,7.0,71.0,Terrier
81348,61-70,w,7.0,71.0,Golden Retriever
81352,71-80,w,7.0,71.0,Italienisches Windspiel
81352,71-80,w,7.0,71.0,Windspiel
81353,81-90,w,6.0,63.0,Rottweiler
81354,81-90,w,6.0,63.0,Appenzeller
81364,41-50,w,3.0,33.0,Cocker Spaniel
81377,41-50,m,6.0,63.0,Bearded Collie
81377,41-50,m,6.0,63.0,Bearded Collie
81377,41-50,m,6.0,63.0,Bearded Collie
81377,41-50,m,6.0,63.0,Bearded Collie
81379,61-70,w,6.0,63.0,Labrador Retriever
81379,61-70,w,6.0,63.0,Labrador Retriever
81380,81-90,m,12.0,121.0,Pudel
81387,41-50,w,8.0,82.0,Terrier
81391,81-90,w,7.0,71.0,Lagotto Romagnolo
81392,51-60,w,7.0,71.0,Mischling klein
81394,51-60,w,10.0,101.0,Samojede
81397,51-60,w,8.0,83.0,Bobtail
81399,81-90,w,11.0,119.0,Yorkshire Terrier
81403,61-70,w,6.0,63.0,Appenzeller
81403,61-70,w,6.0,63.0,Border Collie
81407,61-70,m,6.0,63.0,Border Collie
81407,61-70,m,6.0,63.0,Spinone
81424,71-80,w,6.0,63.0,Border Collie
81430,61-70,w,10.0,102.0,Bolonka Zwetna
81432,51-60,w,7.0,71.0,Bearded Collie
81437,71-80,w,7.0,74.0,Mischling klein
81437,71-80,w,7.0,74.0,Dackel
81438,81-90,m,7.0,71.0,Labrador Retriever
81441,71-80,w,8.0,81.0,Mischling klein
81448,71-80,w,4.0,41.0,Rauhaar Dackel
81457,41-50,w,7.0,73.0,Beagle
81458,71-80,w,6.0,63.0,Berner Sennenhund
81458,71-80,w,6.0,63.0,Border Terrier
81459,81-90,w,11.0,115.0,Cairn Terrier
81463,51-60,w,10.0,102.0,Mops
81466,61-70,w,3.0,34.0,Yorkshire Terrier
81467,31-40,w,10.0,101.0,Malteser
81468,71-80,w,5.0,51.0,Yorkshire Terrier
81469,61-70,w,6.0,63.0,Jack Russel Terrier
81475,61-70,w,7.0,71.0,Labrador Retriever
81482,71-80,m,12.0,122.0,Katalanischer Hirtenhund
81483,51-60,w,5.0,52.0,Labrador Retriever
81502,71-80,w,7.0,72.0,Mischling klein
81504,81-90,w,7.0,74.0,Pudel
81507,61-70,w,6.0,63.0,Mittelpudel
81512,81-90,w,7.0,71.0,Cairn Terrier
81514,71-80,m,6.0,63.0,Podenco
81518,71-80,m,2.0,23.0,Parson Terrier
81523,81-90,w,2.0,21.0,Schäfer
81528,61-70,w,2.0,21.0,Schweizer Sennenhund
81531,71-80,w,3.0,34.0,Mischling klein
81531,71-80,w,3.0,34.0,Bolonka Zwetna
81531,71-80,w,3.0,34.0,Afghane
81539,71-80,w,2.0,21.0,Dackel
81540,31-40,w,2.0,21.0,Appenzeller
81548,41-50,w,3.0,31.0,Labrador Retriever
81557,71-80,w,2.0,24.0,Labrador Retriever
81560,81-90,w,2.0,21.0,Lakeland Terrier
81569,81-90,w,2.0,24.0,Zwergrauhaardackel
81573,71-80,w,3.0,31.0,Jack Russel Terrier
81579,41-50,w,3.0,31.0,Lagotto Romagnolo
81584,51-60,m,2.0,21.0,Spitz
81587,51-60,w,2.0,24.0,Jack Russel Terrier
81590,71-80,w,2.0,21.0,Cocker Spaniel
81593,81-90,w,2.0,24.0,Langhaardackel
81595,61-70,w,1.0,11.0,Rauhaar Dackel
81599,81-90,w,3.0,31.0,Golden Retriever
81612,51-60,w,11.0,115.0,Border Collie
81614,61-70,m,4.0,41.0,Dachshund
81615,61-70,m,10.0,101.0,Golden Retriever
81618,61-70,w,2.0,21.0,Zwergschnauzer
81619,51-60,w,8.0,83.0,Berger Picard
81621,61-70,w,2.0,21.0,West Highland White Terrier
81623,61-70,w,10.0,101.0,Sennenhund
81631,51-60,w,12.0,121.0,Berner Sennenhund
81638,41-50,w,10.0,101.0,Labrador Retriever
81640,71-80,w,10.0,101.0,Cairn Terrier
81641,41-50,w,3.0,31.0,Berner Sennenhund
81645,71-80,m,10.0,101.0,Airedale Terrier
81648,41-50,w,10.0,101.0,Sheltie
81648,41-50,w,10.0,101.0,Chihuahua
81650,61-70,m,10.0,101.0,Deutsche Dogge
81671,51-60,w,10.0,101.0,Mischling klein
81671,51-60,w,10.0,101.0,Mischling klein
81674,81-90,w,10.0,101.0,Pekingese
81677,51-60,w,10.0,101.0,Mischling klein
81680,71-80,w,10.0,102.0,Mischling klein
81681,41-50,w,10.0,101.0,Sennenhund
81683,61-70,w,10.0,101.0,Chinese Crested Powderpuff
81689,51-60,w,10.0,101.0,Portugiesischer Wasserhund
81692,71-80,m,8.0,83.0,Yorkshire Terrier
81696,41-50,m,4.0,4.0,Deutscher Pinscher
81702,51-60,w,11.0,119.0,Collie
81702,51-60,w,11.0,119.0,Collie
81717,71-80,m,12.0,122.0,Pekingese
81717,71-80,m,12.0,122.0,Pekingese
81721,81-90,m,6.0,63.0,Bolonka Zwetna
81722,61-70,w,6.0,61.0,Beagle
81726,61-70,w,11.0,111.0,Dachshund
81726,61-70,w,11.0,111.0,Mischling klein
81726,61-70,w,11.0,111.0,Mischling klein
81726,61-70,w,11.0,111.0,Mischling klein
81726,61-70,w,11.0,111.0,Jack Russel Terrier
81731,61-70,m,12.0,121.0,Mischling klein
81733,61-70,m,11.0,115.0,Jack Russel Terrier
81738,71-80,w,11.0,115.0,Whippet
81742,71-80,w,12.0,122.0,Yorkshire Terrier
81760,51-60,w,12.0,121.0,Shih Tzu
81764,71-80,w,12.0,122.0,Coton de Tulear
81768,61-70,m,11.0,115.0,Rauhaar Dackel
81772,61-70,m,11.0,119.0,Labrador Retriever
81775,71-80,w,11.0,119.0,Zwergpudel
81780,51-60,m,12.0,122.0,Münsterländer
81781,61-70,w,12.0,122.0,Mischling klein
81782,51-60,w,11.0,115.0,Mittelpudel
81784,71-80,m,11.0,119.0,Flat Coated Retriever
81789,41-50,m,11.0,111.0,Mischling klein
81807,71-80,w,11.0,111.0,Labrador Retriever
81810,61-70,m,11.0,111.0,Kleiner Münsterländer
81811,61-70,m,11.0,111.0,Terrier
81812,71-80,w,11.0,115.0,Galgo Español
81821,41-50,m,4.0,42.0,Malteser
81831,71-80,w,11.0,115.0,Mischling klein
81844,71-80,w,11.0,115.0,Mischling klein
81849,51-60,w,11.0,119.0,Chihuahua
81849,51-60,w,11.0,119.0,Azawakh
81849,51-60,w,11.0,119.0,Chinese Crested
81852,51-60,m,11.0,119.0,Irish Setter
81856,31-40,m,11.0,119.0,Labrador Retriever
81870,61-70,w,7.0,74.0,Mischling klein
81872,61-70,w,10.0,102.0,Miniature Australien Shepard
81877,71-80,w,7.0,72.0,Mischling klein
81878,71-80,w,7.0,73.0,Zwergrauhaardackel
81883,71-80,m,7.0,72.0,Beagle
81885,71-80,w,7.0,74.0,Labrador Retriever
81889,61-70,w,2.0,21.0,West Highland White Terrier
81892,51-60,m,11.0,119.0,American Bulldog
81914,61-70,m,4.0,44.0,Deutscher Schäfer
81916,51-60,w,9.0,91.0,Labrador Retriever
81918,71-80,w,10.0,101.0,Zwergpudel
81925,61-70,w,10.0,102.0,Pointer
81928,51-60,w,12.0,123.0,Cocker Spaniel
81929,81-90,w,2.0,23.0,Mischling klein
81949,71-80,m,12.0,122.0,Deutscher Schäfer
81973,41-50,w,12.0,121.0,Border Collie
81986,51-60,m,11.0,119.0,Labrador Retriever
